cdate,hit_counter,visit_counter
2018-06-13,3,1
2018-06-12,4,1
2018-06-10,2,1
2018-06-09,6,2
2018-06-08,5,3
2018-06-07,16,2
2018-06-06,4,1
2018-05-29,14,2
2018-05-28,4,1
2018-05-27,12,2
2018-05-23,15,3
2018-05-22,21,1
2018-05-21,3,1
2018-05-19,29,3
2018-05-17,11,2
2018-05-16,4,2
2018-05-15,3,2
2018-05-13,9,3
2018-05-11,2,1
2018-05-09,4,3
2018-05-07,37,2
2018-05-03,3,1
2018-05-01,4,1
2018-04-30,13,2
2018-04-29,15,3
2018-04-28,42,4
2018-04-26,4,1
2018-04-25,1,1
2018-04-23,13,4
2018-04-22,9,1
2018-04-21,40,2
2018-04-19,16,3
2018-04-18,6,1
2018-04-16,23,4
2018-04-11,23,3
2018-04-09,11,3
2018-04-08,2,1
2018-04-07,5,1
2018-04-06,2,1
2018-04-05,19,3
2018-04-03,2,1
2018-04-02,47,3
2018-04-01,7,1
2018-03-31,1,1
2018-03-30,5,1
2018-03-28,2,1
2018-03-27,5,2
2018-03-26,21,2
2018-03-25,17,3
2018-03-24,7,3
2018-03-23,24,2
2018-03-21,6,2
2018-03-19,8,2
2018-03-18,5,2
2018-03-17,22,1
2018-03-16,19,4
2018-03-15,124,3
2018-03-14,31,4
2018-03-12,49,7
2018-03-10,17,2
2018-03-09,3,1
2018-03-08,4,1
2018-03-07,72,6
2018-03-06,47,3
2018-03-05,59,3
2018-03-04,9,2
2018-03-03,9,3
2018-03-02,1,1
2018-03-01,55,6
2018-02-28,36,6
2018-02-27,13,5
2018-02-26,19,3
2018-02-25,44,5
2018-02-23,5,3
2018-02-22,5,2
2018-02-21,8,2
2018-02-20,5,2
2018-02-19,152,8
2018-02-18,24,4
2018-02-17,41,6
2018-02-15,1,1
2018-02-14,2,1
2018-02-13,5,2
2018-02-12,24,2
2018-02-11,12,3
2018-02-10,10,2
2018-02-09,74,8
2018-02-08,4,1
2018-02-07,1,1
2018-02-06,7,4
2018-02-05,15,3
2018-02-04,5,4
2018-02-02,10,3
2018-02-01,14,3
2018-01-31,5,2
2018-01-30,4,2
2018-01-29,29,5
2018-01-28,20,1
2018-01-27,9,1
2018-01-26,7,3
2018-01-25,4,1
2018-01-24,22,6
2018-01-22,24,5
2018-01-21,59,3
2018-01-20,2,1
2018-01-19,6,2
2018-01-18,1,1
2018-01-17,29,2
2018-01-16,6,1
2018-01-15,26,2
2018-01-14,4,2
2018-01-13,21,3
2018-01-12,5,4
2018-01-11,2,2
2018-01-10,13,1
2018-01-09,34,4
2018-01-08,43,5
2018-01-07,39,7
2018-01-06,11,2
2018-01-05,15,3
2018-01-04,50,2
2018-01-03,5,2
2018-01-02,6,1
2017-12-31,8,2
2017-12-30,4,2
2017-12-29,2,1
2017-12-27,20,2
2017-12-26,2,1
2017-12-25,4,2
2017-12-23,26,2
2017-12-22,3,2
2017-12-21,6,2
2017-12-20,65,7
2017-12-19,15,1
2017-12-18,40,4
2017-12-17,19,7
2017-12-16,24,2
2017-12-15,1,1
2017-12-13,60,6
2017-12-12,36,2
2017-12-11,26,5
2017-12-10,61,6
2017-12-09,8,4
2017-12-08,52,8
2017-12-07,38,7
2017-12-06,126,4
2017-12-05,15,3
2017-12-04,4,3
2017-12-03,3,2
2017-12-02,40,5
2017-12-01,6,3
2017-11-30,14,2
2017-11-29,30,4
2017-11-28,168,6
2017-11-27,40,5
2017-11-26,37,6
2017-11-25,1,1
2017-11-24,133,5
2017-11-23,162,10
2017-11-22,42,7
2017-11-21,70,7
2017-11-20,339,26
2017-11-19,455,38
2017-11-18,347,35
2017-11-17,311,30
2017-11-16,204,18
2017-11-15,127,14
2017-11-14,11,3
2017-11-13,7,3
2017-11-12,36,7
2017-11-11,63,5
2017-11-10,82,7
2017-11-09,29,3
2017-11-08,8,3
2017-11-07,6,2
2017-11-06,2,1
2017-11-05,42,3
2017-11-04,9,1
2017-11-03,52,2
2017-11-02,9,3
2017-11-01,53,5
2017-10-31,28,4
2017-10-30,8,2
2017-10-29,9,2
2017-10-28,11,2
2017-10-27,6,2
2017-10-25,30,4
2017-10-24,7,2
2017-10-23,22,3
2017-10-22,3,1
2017-10-20,43,3
2017-10-19,7,3
2017-10-18,1,1
2017-10-17,7,2
2017-10-16,7,1
2017-10-15,75,4
2017-10-14,4,2
2017-10-13,7,2
2017-10-12,10,1
2017-10-11,9,2
2017-10-10,18,3
2017-10-09,36,4
2017-10-08,2,2
2017-10-07,31,2
2017-10-06,5,2
2017-10-05,39,3
2017-10-03,7,3
2017-10-02,35,5
2017-10-01,2,1
2017-09-30,3,1
2017-09-29,113,8
2017-09-28,16,6
2017-09-27,202,9
2017-09-26,370,13
2017-09-25,25,3
2017-09-24,52,5
2017-09-22,12,3
2017-09-21,13,3
2017-09-20,11,3
2017-09-19,16,2
2017-09-18,97,3
2017-09-17,4,1
2017-09-15,17,3
2017-09-12,29,1
2017-09-11,6,1
2017-09-09,15,2
2017-09-08,54,3
2017-09-07,14,2
2017-09-05,1,1
2017-09-04,2,1
2017-09-02,1,1
2017-08-31,1,1
2017-08-30,6,3
2017-08-29,24,5
2017-08-26,6,2
2017-08-24,2,1
2017-08-23,2,1
2017-08-21,25,2
2017-08-18,1,1
2017-08-17,16,4
2017-08-16,3,1
2017-08-15,3,1
2017-08-14,4,1
2017-08-13,1,1
2017-08-12,63,2
2017-08-11,3,1
2017-08-08,6,1
2017-08-07,7,1
2017-08-05,12,1
2017-08-01,52,2
2017-07-31,31,4
2017-07-30,14,2
2017-07-28,1,1
2017-07-27,1,1
2017-07-25,5,1
2017-07-24,7,2
2017-07-23,7,1
2017-07-21,2,2
2017-07-20,16,2
2017-07-18,3,1
2017-07-17,6,3
2017-07-16,8,1
2017-07-14,42,1
2017-07-11,21,2
2017-07-10,18,2
2017-07-09,29,3
2017-07-08,6,3
2017-07-06,18,2
2017-07-05,1,1
2017-07-04,1,1
2017-07-03,13,2
2017-07-02,8,2
2017-07-01,21,2
2017-06-30,6,3
2017-06-29,18,3
2017-06-28,159,11
2017-06-27,130,13
2017-06-26,261,10
2017-06-24,6,2
2017-06-23,22,3
2017-06-21,3,2
2017-06-20,5,1
2017-06-19,21,1
2017-06-18,11,1
2017-06-17,18,1
2017-06-16,8,2
2017-06-15,13,1
2017-06-14,11,2
2017-06-13,2,1
2017-06-12,8,2
2017-06-11,43,2
2017-06-10,1,1
2017-06-09,1,1
2017-06-08,37,5
2017-06-06,5,1
2017-06-05,2,1
2017-06-03,1,1
2017-06-02,54,4
2017-06-01,4,3
2017-05-31,4,2
2017-05-30,12,1
2017-05-29,23,4
2017-05-28,2,1
2017-05-26,2,2
2017-05-22,18,2
2017-05-21,5,2
2017-05-20,10,1
2017-05-19,1,1
2017-05-18,1,1
2017-05-16,30,3
2017-05-15,4,1
2017-05-13,1,1
2017-05-11,4,2
2017-05-10,23,3
2017-05-09,13,2
2017-05-08,7,3
2017-05-07,2,2
2017-05-06,42,5
2017-05-05,1,1
2017-05-03,2,2
2017-05-02,37,5
2017-05-01,5,1
2017-04-29,8,3
2017-04-28,7,3
2017-04-27,12,5
2017-04-26,2,2
2017-04-25,5,4
2017-04-24,13,4
2017-04-23,11,4
2017-04-22,2,1
2017-04-21,11,4
2017-04-20,4,3
2017-04-19,4,3
2017-04-18,5,2
2017-04-17,28,4
2017-04-16,26,5
2017-04-15,4,0
2017-04-14,18,4
2017-04-13,43,5
2017-04-12,25,2
2017-04-11,19,2
2017-04-10,108,7
2017-04-09,30,4
2017-04-08,42,5
2017-04-07,29,5
2017-04-06,47,3
2017-04-05,10,4
2017-04-04,9,5
2017-04-03,2,2
2017-04-02,20,2
2017-04-01,26,2
2017-03-31,9,3
2017-03-30,3,2
2017-03-29,13,5
2017-03-28,45,3
2017-03-27,2,2
2017-03-25,1,1
2017-03-24,12,6
2017-03-23,3,3
2017-03-22,4,3
2017-03-21,58,5
2017-03-20,2,2
2017-03-19,7,4
2017-03-18,7,3
2017-03-17,4,3
2017-03-16,2,2
2017-03-15,5,4
2017-03-14,2,2
2017-03-13,17,4
2017-03-12,44,3
2017-03-11,24,4
