id,sold,image,price,title,views,code,common,anim_de,anim_en,created,desc_de,desc_en,updated,category,title_en,big_image,subcategory,views_12_15
1,no,0615_SG_Banken_Singapore_.jpg,0.00,Banken,310,0615SG,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2020-12-10 17:47:43,Kiwi,Bank buildings,0615SGClise.jpg,Architektur,89
2,no,0620_SG_Banken_Singapore_2_.jpg,0.00,Bankenfassade,264,0620SG,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2020-12-10 17:48:28,Kiwi,Towering profits,0620SGClose.jpg,Architektur,86
3,no,0638_ID_Tempeltor_.jpg,0.00,Tempeltor,214,0638ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2020-12-11 22:01:49,Kiwi,Dissolving temple gate,0638IDClose.jpg,Architektur,24
4,no,0649_KA_Ta_Prom_3.jpg,0.00,TaProm Inferno,179,0649KA,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2020-12-11 21:56:45,Kiwi,Ta Prom temple inferno,0649KAClose.jpg,Architektur,30
8,no,0667_KA_Angkor_Wat_5.jpg,0.00,Angkor Wat,322,0667KA,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2020-12-10 17:40:02,Kiwi,Angkor Wat temple ruins,0667BUClose.jpg,Architektur,137
1367,no,0671_KA_Bayon_Tempel_3.jpg,0.00,Bayon Tempel,244,0671KA,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2020-12-10 18:17:11,Kiwi,Bayon temple,0671KAClose.jpg,Architektur,36
11,no,0680_SL_Palmen.jpg,0.00,Palmen,198,0680SL,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2020-12-11 21:17:14,Kiwi,Palm trees,0680SLClose.jpg,Architektur,40
13,no,0692IDMarktfrauKuta.jpg,0.00,MarktfrauKuta,104,0692ID,yes,<blank>,<blank>,2015-12-04,<blank>,<blank>,2016-06-26 08:52:32,Kiwi,Heavy load,0692 ID Marktfrau Kuta .jpg,Grüne Kiwis,28
14,no,0694IDTopengSerangan.jpg,0.00,TopengSerangan,110,0694ID,yes,<blank>,<blank>,2015-12-04,<blank>,<blank>,2016-06-26 08:52:32,Kiwi,TopengSerangan,0694 ID Topengtaenzer Serangan .jpg,Grüne Kiwis,26
15,no,0695IDBalinesinGitgit.jpg,0.00,BalinesinGitgit,226,0695ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 08:52:32,Kiwi,Farmers wife Gitgit,0695 ID Balinesin Gitgit .jpg,Grüne Kiwis,127
16,no,0696IDFischerin.jpg,0.00,Fischerin,140,0696ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 08:52:32,Kiwi,Fisher mens daughter,0696 ID Fischerin .jpg,Grüne Kiwis,76
17,no,0697IDMadchen.jpg,0.00,Mädchen,87,0697ID,yes,<blank>,<blank>,2015-12-03,<blank>,<blank>,2016-06-26 08:52:32,Kiwi,girl,0697 ID Maedchen .jpg,Grüne Kiwis,23
18,no,0699IDFelsenkusteNusaDua.jpg,0.00,FelsenküsteNusaDua,106,0699ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 08:52:32,Kiwi,Rocky coast of Nusa Dua,0699 ID Felsenkueste Nusa Dua .jpg,Grüne Kiwis,65
19,no,0891IDFischerNusaDua.jpg,0.00,FischerNusaDua,104,0891ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 08:52:32,Kiwi,Shrimp fishing,0891 ID Fischer Nusa Dua .jpg,Grüne Kiwis,70
20,no,0911IDMarktfrau.jpg,0.00,Marktfrau,80,0911ID,yes,<blank>,<blank>,2015-12-04,<blank>,<blank>,2016-06-26 08:52:32,Kiwi,Market woman,0911 ID Marktfrau .jpg,Grüne Kiwis,25
21,no,0924IDZeremonieMengwi.jpg,0.00,ZeremonieMengwi,134,0924ID,yes,<blank>,<blank>,2015-12-04,<blank>,<blank>,2016-06-26 08:52:32,Kiwi,Ceremony Mengwi,0924 ID Zeremonie Mengwi .jpg,Grüne Kiwis,23
22,no,0925IDMenschenStrand.jpg,0.00,MenschenStrand,95,0925ID,yes,<blank>,<blank>,2015-12-03,<blank>,<blank>,2016-06-26 08:52:32,Kiwi,People on the beach,0925 ID Menschen a.Strand.jpg,Grüne Kiwis,30
23,no,0926IDFischerboote.jpg,0.00,Fischerboote,108,0926ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 06:01:47,Kiwi,Fishing boats Kusambe,0926 ID Fischerboote.jpg,Grüne Kiwis,72
24,no,0931IDTempeltor.jpg,0.00,Tempeltor,101,0931ID,yes,<blank>,<blank>,2015-11-20,<blank>,<blank>,2016-06-26 08:54:39,Kiwi,Temple gate,0931 ID Tempeltor.jpg,Grüne Kiwis,23
25,no,0932IDHahnenkampf.jpg,0.00,Hahnenkampf,80,0932ID,yes,<blank>,<blank>,2015-12-04,<blank>,<blank>,2016-06-26 06:01:47,Kiwi,Cockfighting,0932 ID Hahnenkampf.jpg,Grüne Kiwis,27
27,no,0933IDKutaStrand.jpg,0.00,KutaStrand,73,0933ID,yes,<blank>,<blank>,2015-11-20,<blank>,<blank>,2016-06-26 06:01:47,Kiwi,Kuta beach,0933 ID Kuta Strand.jpg,Grüne Kiwis,27
